"conference","full_name","category","main_discipline","other_disciplines","organization","website"
"AAAI","AAAI Conference on Artificial Intelligence","AI & ML","Artificial Intelligence;Machine Learning","Computer Vision;Data Mining;Natural Language Processing;Planning;Reasoning;Robotics;Searching","AAAI - Association for the Advancement of Artificial Intelligence","https://aaai.org/conference/aaai/"
"ICML","International Conference on Machine Learning","AI & ML","Machine Learning","Deep Learning;Learning Theory;Optimization;Probabilistic Inference;Trustworthy Machine Learning",,"https://icml.cc"
"ICLR","International Conference on Learning Representations","AI & ML","Deep Learning;Machine Learning;Representation Learning","Reinforcement Learning;Unsupervised Learning;Semi-Supervised Learning;Self-Supervised Learning;Generative Models;Graph Neural Networks",,"https://iclr.cc/"
"IJCAI","International Joint Conference on Artificial Intelligence","AI & ML","Artificial Intelligence","Agent;Constraint Satisfaction and Optimization;Game Theory;Knowledge Representation;Planning and Scheduling;Robotics;Search;Uncertainty","IJCAI Organization","https://www.ijcai.org/future_conferences"
"NeurIPS","Conference on Neural Information Processing Systems","AI & ML","Machine Learning;Artificial Intelligence;Neuroscience","Deep Learning;Cognitive Science;Psychology;Information Theory;Optimization;Probabilistic Methods;Reinforcement Learning;Theory","NeurIPS Foundation","https://neurips.cc"
"CVPR","International Conference on Computer Vision and Pattern Recognition","CV","Computer Vision;Pattern Recognition","Image;Video;Object Detection;Segmentation;3D CV;Synthesis;VR;AR;Graphics","IEEE Computer Society, Computer Vision Foundation","https://cvpr.thecvf.com"
"ECCV","European Conference on Computer Vision","CV","Computer Vision","Image;Video;3D CV;Scene Understanding;Motion and Tracking;Recognition;Biomedical","European Computer Vision Association","https://www.ecva.net/index.php"
"ICCV","International Conference on Computer Vision","CV","Computer Vision","Object Recognition and Detection;Image Segmentation;3D Vision;Motion and Tracking;Deep Learning;Scene Understanding;Vision and Language;AR;VR;Multimodal Learning","IEEE Computer Society, Computer Vision Foundation","https://www.thecvf.com/"
"ICDE","IEEE International Conference on Data Engineering","DB","Data Engineering;Data Management;Database","Data Mining;Data Stream;Sensor Networks;Query Language;Data Visualization;Distributed DM;Parallel DM;Graphs;Data Quality","IEEE Computer Society",
"PODS","Symposium on Principles of Database Systems","DB","Database Theory;Management of Data","Query Language;Data Models;Data Integrity;Data Semantics;Database Design","ACM SIGMOD","https://sigmod.org/pods-home/"
"VLDB","International Conference on Very Large Data Bases","DB","Database;Data Management;System","Data Mining;Data Privacy & Security;DB Performance;Distributed DB;Graph;Information Integration;Data Quality;Query Language;Architecture","VLDB Endowment Inc.","https://vldb.org/pvldb"
"ICME","IEEE International Conference on Multimedia and Expo","Multimedia","Multimedia","3D;AR;VR;Communication;Mobility;Networking;Database;Quality Assessment;Security;Multimodal;Image;Video","IEEE CAS, IEEE ComSoc, IEEE CS, IEEE SPS",
"CIKM","ACM International Conference on Information and Knowledge Management","IR","Database;Information Retrieval;Knowledge Management","Data Mining;Integration & Aggregation;Search;Artificial Intelligence;Big Data;Graph;Recommendation","ACM SIGWEB, ACM SIGIR","https://dl.acm.org/conference/cikm"
"SIGMOD","ACM SIGMOD/PODS International Conference on Management of Data ","DB","Database;Data Management;Big Data","Data Science;Cloud Computing and DB;Information Retrieval;Knowledge Management;Data Streams and Sensor Networks","ACM SIGMOD","https://sigmod.org"
"ACM MM","ACM International Conference on Multimedia","Multimedia","Multimedia","MM Content Analysis;MM Interaction;MM Networking;MM Security & Privacy;HCI for MM;ML for MM;MM Data Management","SIGMM","https://dl.acm.org/conference/mm"
"ICDM","IEEE International Conference on Data Mining","DM","Data Mining;Knowledge Discovery","Machine Learning;Artificial Intelligence;Big Data;Statistical Methods;Multimedia;Web;Spatiotemporal;Recommendation","IEEE CS",
"KDD","ACM SIGKDD Conference on Knowledge Discovery and Data Mining","DM","Data Mining;Machine Learning;Knowledge Discovery","Big Data;Artificial Intelligence;Graph;Statistics;Data Science;Information Retrieval","ACM SIGKDD","https://www.kdd.org"
"WSDM","ACM International Conference on Web Search and Data Mining","Web","Web Search;Data Mining","Recommender System;Information Retrieval;Machine Learning;Graph Mining;NLP;Social Network;User Behavior","ACM SIGWEB","https://www.sigweb.org/conferences/acm-sigweb-conferences/wsdm"
"SDM","SIAM International Conference on Data Mining","DM","Data Mining;Knowledge Discovery","Machine Learning;Artificial Intelligence;Statistics;Social Network;Big Data","Society for Industrial and Applied Mathematics (SIAM)","https://www.siam.org"
"ECIR","European Conference on Information Retrieval","IR","Information Retrieval","NLP;Machine Learning;Web & Social Media;Recommender System;Multimedia Retrieval;User Modeling;HCI","British Computer Society, Information Retrieval Specialist Group",
