Section,Paper Title
Refine list,"Michael J. Wooldridge, Jennifer G. Dy, Sriraam Natarajan: Thirty-Eighth AAAI Conference on Artificial Intelligence, AAAI 2024, Thirty-Sixth Conference on Innovative Applications of Artificial Intelligence, IAAI 2024, Fourteenth Symposium on Educational Advances in Artificial Intelligence, EAAI 2014, February 20-27, 2024, Vancouver, Canada. AAAI Press 2024"
AAAI Technical Track on Application Domains,"Yongkang Wang, Xuan Liu, Feng Huang, Zhankun Xiong, Wen Zhang: A Multi-Modal Contrastive Diffusion Model for Therapeutic Peptide Generation.  3-11"
AAAI Technical Track on Application Domains,"Chen Bai, Jianwang Zhai, Yuzhe Ma, Bei Yu, Martin D. F. Wong: Towards Automated RISC-V Microarchitecture Design with Reinforcement Learning.  12-20"
AAAI Technical Track on Application Domains,"Shreyas Bhat Brahmavar, Ashwin Srinivasan, Tirtharaj Dash, Sowmya Ramaswamy Krishnan, Lovekesh Vig, Arijit Roy, Raviprasad Aduri: Generating Novel Leads for Drug Discovery Using LLMs with Logical Feedback.  21-29"
AAAI Technical Track on Application Domains,"Ying-Ying Chang, Wei-Yao Wang, Wen-Chih Peng: SeGA: Preference-Aware Self-Contrastive Learning with Prompts for Anomalous User Detection on Twitter.  30-37"
AAAI Technical Track on Application Domains,"Zhihao Chang, Linzhu Yu, Yanchao Xu, Wentao Hu: Neural Embeddings for kNN Search in Biological Sequence.  38-45"
AAAI Technical Track on Application Domains,"Haoyang Chen, Peiyan Sun, Qiyuan Song, Wanyuan Wang, Weiwei Wu, Wencan Zhang, Guanyu Gao, Yan Lyu: i-Rebalance: Personalized Vehicle Repositioning for Supply Demand Balance.  46-54"
AAAI Technical Track on Application Domains,"Le Cheng, Peican Zhu, Keke Tang, Chao Gao, Zhen Wang: GIN-SD: Source Detection in Graphs with Incomplete Nodes via Positional Encoding and Attentive Fusion.  55-63"
AAAI Technical Track on Application Domains,"Yoni Choukroun, Lior Wolf: Deep Quantum Error Correction.  64-72"
AAAI Technical Track on Application Domains,"Chaoqun Cui, Caiyan Jia: Propagation Tree Is Not Deep: Adaptive Graph Contrastive Learning Approach for Rumor Detection.  73-81"
AAAI Technical Track on Application Domains,"Longchao Da, Minquan Gao, Hao Mei, Hua Wei: Prompt to Transfer: Sim-to-Real Transfer for Traffic Signal Control with Prompt Learning.  82-90"
AAAI Technical Track on Application Domains,"Na Fan, Zeyue Tian, Amartansh Dubey, Samruddhi Deshmukh, Ross D. Murch, Qifeng Chen: Multitarget Device-Free Localization via Cross-Domain Wi-Fi RSS Training Data and Attentional Prior Fusion.  91-99"
AAAI Technical Track on Application Domains,"Haisong Gong, Weizhi Xu, Shu Wu, Qiang Liu, Liang Wang: Heterogeneous Graph Reasoning for Fact Checking over Texts and Tables.  100-108"
AAAI Technical Track on Application Domains,"Haisong Gong, Qiang Liu, Shu Wu, Liang Wang: Text-Guided Molecule Generation with Diffusion Language Model.  109-117"
AAAI Technical Track on Application Domains,"Jiazhi Guan, Yi Zhao, Zhuoer Xu, Changhua Meng, Ke Xu, Youjian Zhao: Adversarial Robust Safeguard for Evading Deep Facial Manipulation.  118-126"
AAAI Technical Track on Application Domains,"Dongyue Guo, Zheng Zhang, Zhen Yan, Jianwei Zhang, Yi Lin: FlightBERT++: A Non-autoregressive Multi-Horizon Flight Trajectory Prediction Framework.  127-134"
AAAI Technical Track on Application Domains,"Hongcheng Guo, Jian Yang, Jiaheng Liu, Jiaqi Bai, Boyang Wang, Zhoujun Li, Tieqiao Zheng, Bo Zhang, Junran Peng, Qi Tian: LogFormer: A Pre-train and Tuning Pipeline for Log Anomaly Detection.  135-143"
AAAI Technical Track on Application Domains,"Zhi Jin, Sheng Xu, Xiang Zhang, Tianze Ling, Nanqing Dong, Wanli Ouyang, Zhiqiang Gao, Cheng Chang, Siqi Sun: ContraNovo: A Contrastive Learning Approach to Enhance De Novo Peptide Sequencing.  144-152"
AAAI Technical Track on Application Domains,"Seungjun Lee, Taeil Oh: Inducing Point Operator Transformer: A Flexible and Scalable Architecture for Solving PDEs.  153-161"
AAAI Technical Track on Application Domains,"Tong Li, Zhaoyang Liu, Yanyan Shen, Xue Wang, Haokun Chen, Sen Huang: MASTER: Market-Guided Stock Transformer for Stock Price Forecasting.  162-170"
AAAI Technical Track on Application Domains,"Yanhong Li, Jack Xu, David C. Anastasiu: Learning from Polar Representation: An Extreme-Adaptive Model for Long-Term Time Series Forecasting.  171-179"
AAAI Technical Track on Application Domains,"Yijun Li, Cheuk Hang Leung, Xiangqian Sun, Chaoqun Wang, Yiyan Huang, Xing Yan, Qi Wu, Dongdong Wang, Zhixiang Huang: The Causal Impact of Credit Lines on Spending Distributions.  180-187"
AAAI Technical Track on Application Domains,"Zhengyi Li, Menglu Li, Lida Zhu, Wen Zhang: Improving PTM Site Prediction by Coupling of Multi-Granularity Structure and Multi-Scale Sequence Representation.  188-196"
AAAI Technical Track on Application Domains,"Minghui Liao, Guojia Wan, Bo Du: Joint Learning Neuronal Skeleton and Brain Circuit Topology with Permutation Invariant Encoders for Neuron Classification.  197-205"
AAAI Technical Track on Application Domains,"Cheng-Ming Lin, Ching Chang, Wei-Yao Wang, Kuang-Da Wang, Wen-Chih Peng: Root Cause Analysis in Microservice Using Neural Granger Causal Discovery.  206-213"
AAAI Technical Track on Application Domains,"Shengheng Liu, Xingkang Li, Zihuan Mao, Peng Liu, Yongming Huang: Model-Driven Deep Neural Network for Enhanced AoA Estimation Using 5G gNB.  214-221"
AAAI Technical Track on Application Domains,"Jesung Ryu, Seungyeon Rhyu, Hong-Gyu Yoon, Eunchong Kim, Ju Young Yang, Taehyun Kim: MID-FiLD: MIDI Dataset for Fine-Level Dynamics.  222-230"
AAAI Technical Track on Application Domains,"Rui She, Sijie Wang, Qiyu Kang, Kai Zhao, Yang Song, Wee Peng Tay, Tianyu Geng, Xingchao Jian: PosDiffNet: Positional Neural Diffusion for Point Cloud Registration in a Large Field of View with Perturbations.  231-239"
AAAI Technical Track on Application Domains,"Wenkang Su, Jiangqun Ni, Yiyan Sun: StegaStyleGAN: Towards Generic and Practical Generative Image Steganography.  240-248"
AAAI Technical Track on Application Domains,"Xiaorui Su, Pengwei Hu, Zhu-Hong You, Philip S. Yu, Lun Hu: Dual-Channel Learning Framework for Drug-Drug Interaction Prediction via Relation-Aware Heterogeneous Graph Transformer.  249-256"
AAAI Technical Track on Application Domains,"Sally Turutov, Kira Radinsky: Molecular Optimization Model with Patentability Constraint.  257-264"
AAAI Technical Track on Application Domains,"Jiquan Wang, Sha Zhao, Haiteng Jiang, Shijian Li, Tao Li, Gang Pan: Generalizable Sleep Staging via Multi-Level Domain Alignment.  265-273"
AAAI Technical Track on Application Domains,"Tong Wang, Yuan Yao, Feng Xu, Miao Xu, Shengwei An, Ting Wang: Inspecting Prediction Confidence for Detecting Black-Box Backdoor Attacks.  274-282"
AAAI Technical Track on Application Domains,"Yingheng Wang, Shufeng Kong, John M. Gregoire, Carla P. Gomes: Conformal Crystal Graph Transformer with Robust Encoding of Periodic Invariance.  283-291"
AAAI Technical Track on Application Domains,"Yu Wang, Xiaoye Wang, Zaiwang Gu, Weide Liu, Wee Siong Ng, Weimin Huang, Jun Cheng: SuperJunction: Learning-Based Junction Detection for Retinal Image Registration.  292-300"
AAAI Technical Track on Application Domains,"Zilin Wang, Haolin Zhuang, Lu Li, Yinmin Zhang, Junjie Zhong, Jun Chen, Yu Yang, Boshi Tang, Zhiyong Wu: Explore 3D Dance Generation via Reward Model from Automatically-Ranked Demonstrations.  301-309"
AAAI Technical Track on Application Domains,"Lirong Wu, Yufei Huang, Cheng Tan, Zhangyang Gao, Bozhen Hu, Haitao Lin, Zicheng Liu, Stan Z. Li: PSC-CPI: Multi-Scale Protein Sequence-Structure Contrasting for Efficient and Generalizable Compound-Protein Interaction Prediction.  310-319"
AAAI Technical Track on Application Domains,"Tailin Wu, Willie Neiswanger, Hongtao Zheng, Stefano Ermon, Jure Leskovec: Uncertainty Quantification for Forward and Inverse Problems of PDEs via Latent Global Evolution.  320-328"
AAAI Technical Track on Application Domains,"Zhousan Xie, Shikui Tu, Lei Xu: Multilevel Attention Network with Semi-supervised Domain Adaptation for Drug-Target Prediction.  329-337"
AAAI Technical Track on Application Domains,"Can Xu, Haosen Wang, Weigang Wang, Pengfei Zheng, Hongyang Chen: Geometric-Facilitated Denoising Diffusion Model for 3D Molecule Generation.  338-346"
AAAI Technical Track on Application Domains,"Shu Yin, Peican Zhu, Lianwei Wu, Chao Gao, Zhen Wang: GAMC: An Unsupervised Method for Fake News Detection Using Graph Autoencoder with Masking.  347-355"
AAAI Technical Track on Application Domains,"Jixiang Yu, Nanjun Chen, Ming Gao, Xiangtao Li, Ka-Chun Wong: Unsupervised Gene-Cell Collective Representation Learning with Optimal Transport.  356-364"
AAAI Technical Track on Application Domains,Shuai Yu: MCSSME: Multi-Task Contrastive Learning for Semi-supervised Singing Melody Extraction from Polyphonic Music.  365-373
AAAI Technical Track on Application Domains,"Yemin Yu, Luotian Yuan, Ying Wei, Hanyu Gao, Fei Wu, Zhihua Wang, Xinhai Ye: RetroOOD: Understanding Out-of-Distribution Generalization in Retrosynthesis Prediction.  374-382"
AAAI Technical Track on Application Domains,"Xi Zeng, Xiaotian Hao, Hongyao Tang, Zhentao Tang, Shaoqing Jiao, Dazhi Lu, Jiajie Peng: Designing Biological Sequences without Prior Knowledge Using Evolutionary Reinforcement Learning.  383-391"
AAAI Technical Track on Application Domains,"Xianghua Zeng, Hao Peng, Angsheng Li: Adversarial Socialbots Modeling Based on Structural Information Principles.  392-400"
AAAI Technical Track on Application Domains,"Hongbo Zhang, Guang Wang, Xu Wang, Zhengyang Zhou, Chen Zhang, Zheng Dong, Yang Wang: NondBREM: Nondeterministic Offline Reinforcement Learning for Large-Scale Order Dispatching.  401-409"
AAAI Technical Track on Application Domains,"Jialu Zhang, Xiaoying Yang, Wentao He, Jianfeng Ren, Qian Zhang, Yitian Zhao, Ruibin Bai, Xiangjian He, Jiang Liu: Scale Optimization Using Evolutionary Reinforcement Learning for Object Detection on Drone Imagery.  410-418"
AAAI Technical Track on Application Domains,"Rui-Xiao Zhang, Tianchi Huang: Adversarial Attacks on Federated-Learned Adaptive Bitrate Algorithms.  419-427"
AAAI Technical Track on Application Domains,"Jian Zhu, Congcong Liu, Xue Jiang, Changping Peng, Zhangang Lin, Jingping Shao: Generalize for Future: Slow and Fast Trajectory Learning for CTR Prediction.  428-436"
AAAI Technical Track on Application Domains,"Yuqi Zhu, Jia Li, Ge Li, Yunfei Zhao, Jia Li, Zhi Jin, Hong Mei: Hot or Cold? Adaptive Temperature Sampling for Code Generation with Large Language Models.  437-445"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Paul M. Bodily, Dan Ventura: Operationalizing Essential Characteristics of Creativity in a Computational System for Music Composition.  447-455"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Matteo Bortoletto, Lei Shi, Andreas Bulling: Neural Reasoning about Agents' Goals, Preferences, and Actions.  456-464"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Min Cao, Yang Bai, Ziyin Zeng, Mang Ye, Min Zhang: An Empirical Study of CLIP for Text-Based Person Search.  465-473"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Hongyi Chen, Jingtao Ding, Yong Li, Yue Wang, Xiao-Ping Zhang: Social Physics Informed Diffusion Model for Crowd Simulation.  474-482"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Yingjie Chen, Jiarui Zhang, Tao Wang, Yun Liang: Trend-Aware Supervision: On Learning Invariance for Semi-supervised Facial Action Unit Intensity Estimation.  483-491"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Jianhao Ding, Zhaofei Yu, Tiejun Huang, Jian K. Liu: Enhancing the Robustness of Spiking Neural Networks with Stochastic Gating Mechanisms.  492-502"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Hen Emuna, Nadav Borenstein, Xin Qian, Hyeonsu B. Kang, Joel Chan, Aniket Kittur, Dafna Shahaf: Imitation of Life: A Search Engine for Biologically Inspired Design.  503-511"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Xiang He, Dongcheng Zhao, Yang Li, Guobin Shen, Qingqun Kong, Yi Zeng: An Efficient Knowledge Transfer Strategy for Spiking Neural Networks from Static to Event Domain.  512-520"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Zhejing Hu, Yan Liu, Gong Chen, Xiao Ma, Shenghua Zhong, Qianwen Luo: Responding to the Call: Exploring Automatic Music Composition Using a Knowledge-Enhanced Model.  521-529"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Kunal Jha, Tuan Anh Le, Chuanyang Jin, Yen-Ling Kuo, Joshua B. Tenenbaum, Tianmin Shu: Neural Amortized Inference for Nested Multi-Agent Reasoning.  530-537"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Shu Li, Ruimin Hu, Suhui Li, Liang Liao: Hidden Follower Detection: How Is the Gaze-Spacing Pattern Embodied in Frequency Domain?  538-546"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Sifei Li, Yuxin Zhang, Fan Tang, Chongyang Ma, Weiming Dong, Changsheng Xu: Music Style Transfer with Time-Varying Inversion of Diffusion Models.  547-555"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Han Lu, Xiahai Zhuang, Qiang Luo: A Brain-Inspired Way of Reducing the Network Complexity via Concept-Regularized Coding for Emotion Recognition.  556-564"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Bingjun Luo, Zewen Wang, Jinpeng Wang, Junjie Zhu, Xibin Zhao, Yue Gao: Multi-Energy Guided Image Translation with Stochastic Differential Equations for Near-Infrared Facial Expression Recognition.  565-573"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Gehua Ma, He Wang, Jingyuan Zhao, Rui Yan, Huajin Tang: Successive POI Recommendation via Brain-Inspired Spatiotemporal Aware Representation.  574-582"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Yuanyuan Mao, Xin Lin, Qin Ni, Liang He: BDIQA: A New Dataset for Video Question Answering to Explore Cognitive Reasoning through Theory of Mind.  583-591"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Junseok Park, Yoonsung Kim, Hee bin Yoo, Min Whoo Lee, Kibeom Kim, Won-Seok Choi, Minsu Lee, Byoung-Tak Zhang: Unveiling the Significance of Toddler-Inspired Reward Transition in Goal-Oriented Reinforcement Learning.  592-600"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Xuerui Qiu, Rui-Jie Zhu, Yuhong Chou, Zhaorui Wang, Liang-Jian Deng, Guoqi Li: Gated Attention Coding for Training High-Performance and Efficient Spiking Neural Networks.  601-610"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Jiangrong Shen, Wenyao Ni, Qi Xu, Huajin Tang: Efficient Spiking Neural Networks with Sparse Selective Activation for Continual Learning.  611-619"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Shanshan Wang, Zhen Zeng, Xun Yang, Ke Xu, Xingyi Zhang: Boosting Neural Cognitive Diagnosis with Student's Affective State Modeling.  620-627"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Yiming Wang, Bin Zhang, Yujiao Tang: DMMR: Cross-Subject Domain Generalization for EEG-Based Emotion Recognition via Denoising Mixed Mutual Reconstruction.  628-636"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Jiyuan Zhang, Shiyan Chen, Yajing Zheng, Zhaofei Yu, Tiejun Huang: Transient Glimpses: Unveiling Occluded Backgrounds through the Spike Camera.  637-645"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Yuhang Zhang, Yue Yao, Xuannan Liu, Lixiong Qin, Wenjing Wang, Weihong Deng: Open-Set Facial Expression Recognition.  646-654"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Feiyu Zhu, Reid G. Simmons: Bootstrapping Cognitive Agents with a Large Language Model.  655-663"
AAAI Technical Track on Cognitive Modeling & Cognitive Systems,"Yangfu Zhu, Yue Xia, Meiling Li, Tingting Zhang, Bin Wu: Data Augmented Graph Neural Networks for Personality Detection.  664-672"
AAAI Technical Track on Computer Vision I,"Namhyuk Ahn, Junsoo Lee, Chunggi Lee, Kunhee Kim, Daesik Kim, Seung-Hun Nam, Kibeom Hong: DreamStyler: Paint by Style Inversion with Text-to-Image Diffusion Models.  674-681"
AAAI Technical Track on Computer Vision I,"Seungjun An, Seonghoon Park, Gyeongnyeon Kim, Jeongyeol Baek, Byeongwon Lee, Seungryong Kim: Context Enhanced Transformer for Single Image Object Detection in Video Data.  682-690"
AAAI Technical Track on Computer Vision I,"Xiaoqi An, Lin Zhao, Chen Gong, Nannan Wang, Di Wang, Jian Yang: SHaRPose: Sparse High-Resolution Representation for Human Pose Estimation.  691-699"
AAAI Technical Track on Computer Vision I,"Anastasia Antsiferova, Khaled Abud, Aleksandr Gushchin, Ekaterina Shumitskaya, Sergey Lavrushkin, Dmitriy S. Vatolin: Comparing the Robustness of Modern No-Reference Image- and Video-Quality Metrics to Adversarial Attacks.  700-708"
AAAI Technical Track on Computer Vision I,"Srikar Appalaraju, Peng Tang, Qi Dong, Nishant Sankaran, Yichu Zhou, R. Manmatha: DocFormerv2: Local Features for Document Understanding.  709-718"
AAAI Technical Track on Computer Vision I,"Zhongjie Ba, Qingyu Liu, Zhenguang Liu, Shuang Wu, Feng Lin, Li Lu, Kui Ren: Exposing the Deception: Uncovering More Forgery Clues for Deepfake Detection.  719-728"
AAAI Technical Track on Computer Vision I,"Shuanghao Bai, Min Zhang, Wanqi Zhou, Siteng Huang, Zhirong Luan, Donglin Wang, Badong Chen: Prompt-Based Distribution Alignment for Unsupervised Domain Adaptation.  729-737"
AAAI Technical Track on Computer Vision I,"Peijun Bao, Yong Xia, Wenhan Yang, Boon Poh Ng, Meng Hwa Er, Alex C. Kot: Local-Global Multi-Modal Distillation for Weakly-Supervised Temporal Video Grounding.  738-746"
AAAI Technical Track on Computer Vision I,"Peijun Bao, Zihao Shao, Wenhan Yang, Boon Poh Ng, Meng Hwa Er, Alex C. Kot: Omnipotent Distillation with LLMs for Weakly-Supervised Natural Language Video Localization: When Divergence Meets Consistency.  747-755"
AAAI Technical Track on Computer Vision I,"Qiqi Bao, Zheng Hui, Rui Zhu, Peiran Ren, Xuansong Xie, Wenming Yang: Improving Diffusion-Based Image Restoration with Error Contraction and Error Correction.  756-764"
AAAI Technical Track on Computer Vision I,"Xiaoyi Bao, Jie Qin, Siyang Sun, Xingang Wang, Yun Zheng: Relevant Intrinsic Feature Enhancement Network for Few-Shot Semantic Segmentation.  765-773"
AAAI Technical Track on Computer Vision I,"Mazal Bethany, Brandon Wherry, Nishant Vishwamitra, Peyman Najafirad: Image Safeguarding: Reasoning with Conditional Vision Language Model and Obfuscating Unsafe Content Counterfactually.  774-782"
AAAI Technical Track on Computer Vision I,"Aneesh Bhattacharya, Manas Paranjape, Uttaran Bhattacharya, Aniket Bera: DanceAnyWay: Synthesizing Beat-Guided 3D Dances with Randomized Temporal Contrastive Learning.  783-791"
AAAI Technical Track on Computer Vision I,"Swapnil Bhosale, Sauradip Nag, Diptesh Kanojia, Jiankang Deng, Xiatian Zhu: DiffSED: Sound Event Detection with Denoising Diffusion.  792-800"
AAAI Technical Track on Computer Vision I,"Qi Bi, Shaodi You, Theo Gevers: Learning Generalized Segmentation for Foggy-Scenes by Bi-directional Wavelet Guidance.  801-809"
AAAI Technical Track on Computer Vision I,"Qi Bi, Jingjun Yi, Hao Zheng, Wei Ji, Yawen Huang, Yuexiang Li, Yefeng Zheng: Learning Generalized Medical Image Segmentation from Decoupled Feature Queries.  810-818"
AAAI Technical Track on Computer Vision I,"Qi Bi, Shaodi You, Theo Gevers: Learning Content-Enhanced Mask Transformer for Domain Generalized Urban-Scene Segmentation.  819-827"
